City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,26.78,79,68,7.94,PF,1680279839
1,coos bay,43.3665,-124.2179,7.95,91,100,4.63,US,1680279839
2,yellowknife,62.456,-114.3525,-20.25,65,40,4.63,CA,1680279839
3,port alfred,-33.5906,26.891,18.99,80,100,0.45,ZA,1680279839
4,paamiut,61.994,-49.6678,-5.32,47,15,1.51,GL,1680279839
5,rikitea,-23.1203,-134.9692,25.88,77,85,3.2,PF,1680279839
6,tuktoyaktuk,69.4541,-133.0374,-25.0,70,20,8.75,CA,1680279840
7,ushuaia,-54.8,-68.3,8.81,61,20,1.54,AR,1680279786
8,urumqi,43.801,87.6005,4.53,49,75,6.0,CN,1680279731
9,thompson,55.7435,-97.8558,-9.91,48,75,3.09,CA,1680279840
10,hirara,24.8,125.2833,21.15,78,20,5.66,JP,1680279840
11,bluff,-46.6,168.3333,10.06,91,82,2.92,NZ,1680279840
12,banbury,52.0602,-1.3403,11.49,93,100,1.34,GB,1680279840
13,faanui,-16.4833,-151.75,27.72,73,49,3.58,PF,1680279840
14,comodoro rivadavia,-45.8667,-67.5,13.92,38,0,5.14,AR,1680279840
15,barrow,71.2906,-156.7887,-15.99,92,100,2.06,US,1680279840
16,tokur,53.1333,132.9,-5.91,95,99,1.33,RU,1680279841
17,souillac,-20.5167,57.5167,27.21,83,40,5.14,MU,1680279841
18,albany,42.6001,-73.9662,8.27,40,99,1.79,US,1680279841
19,hobart,-42.8794,147.3294,9.03,71,47,3.09,AU,1680279841
20,porosozero,62.7191,32.727,-6.31,93,38,1.24,RU,1680279841
21,jamestown,42.097,-79.2353,4.45,92,100,4.63,US,1680279841
22,chuy,-33.6971,-53.4616,22.3,79,91,7.05,UY,1680279841
23,oranjemund,-28.55,16.4333,18.75,71,100,7.29,NA,1680279842
24,geraldton,-28.7667,114.6,20.23,88,0,2.06,AU,1680279842
25,cidreira,-30.1811,-50.2056,28.19,59,0,1.33,BR,1680279842
26,klaksvik,62.2266,-6.589,7.51,90,100,11.28,FO,1680279842
27,borskoye,53.0333,51.7167,5.01,90,93,3.01,RU,1680279842
28,qaanaaq,77.484,-69.3632,-22.78,73,21,1.56,GL,1680279842
29,bambous virieux,-20.3428,57.7575,27.34,83,40,5.14,MU,1680279843
30,benghazi,32.1167,20.0667,16.67,52,0,3.42,LY,1680279843
31,mandalgovi,45.7625,106.2708,5.16,27,1,4.31,MN,1680279843
32,dikson,73.5069,80.5464,-13.36,92,100,11.67,RU,1680279843
33,mago,53.2514,140.1822,-5.79,97,11,1.31,RU,1680279843
34,hermanus,-34.4187,19.2345,21.0,71,25,3.81,ZA,1680279843
35,griffith,41.5284,-87.4237,16.84,75,100,10.29,US,1680279843
36,busselton,-33.65,115.3333,17.81,65,96,6.75,AU,1680279843
37,komsomolskiy,40.4272,71.7189,17.4,55,67,1.03,UZ,1680279843
38,xichang,27.8964,102.2634,12.97,84,99,1.22,CN,1680279844
39,saskylakh,71.9167,114.0833,-20.06,94,96,5.99,RU,1680279844
40,kysyl-syr,63.8986,122.7617,-21.85,96,100,2.38,RU,1680279844
41,teahupoo,-17.8333,-149.2667,21.98,75,100,3.09,PF,1680279844
42,jumla,29.2747,82.1838,3.53,87,28,2.31,NP,1680279844
43,vaini,-21.2,-175.2,23.09,100,20,2.57,TO,1680279844
44,nicoya,10.1483,-85.452,31.66,40,27,6.59,CR,1680279844
45,puerto ayora,-0.7393,-90.3518,30.98,89,38,1.79,EC,1680279845
46,avarua,-21.2078,-159.775,24.03,100,89,0.51,CK,1680279845
47,dongsheng,39.8161,109.9776,9.58,46,28,7.87,CN,1680279845
48,longyearbyen,78.2186,15.6401,-10.09,79,75,5.66,SJ,1680279845
49,maniitsoq,65.4167,-52.9,-6.61,45,6,1.26,GL,1680279845
50,hilo,19.7297,-155.09,21.81,93,100,2.57,US,1680279845
51,chadiza,-14.0678,32.4392,19.13,98,100,2.21,ZM,1680279845
52,cape town,-33.9258,18.4232,20.06,74,0,8.75,ZA,1680279796
53,yumen,40.2833,97.2,11.84,16,100,4.92,CN,1680279846
54,benemerito de las americas,16.5167,-90.6439,28.41,55,40,2.32,MX,1680279846
55,tasiilaq,65.6145,-37.6368,1.09,69,100,1.21,GL,1680279846
56,taoudenni,22.6783,-3.9836,36.54,5,0,6.91,ML,1680279846
57,bredasdorp,-34.5322,20.0403,20.11,60,6,3.38,ZA,1680279846
58,clyde river,70.4692,-68.5914,-17.87,78,100,6.69,CA,1680279846
59,alofi,-19.0595,-169.9187,24.94,100,36,2.06,NU,1680279846
60,kismayo,-0.3582,42.5454,27.8,74,5,6.31,SO,1680279846
61,pevek,69.7008,170.3133,-10.8,77,100,4.82,RU,1680279847
62,beloha,-25.1667,45.05,22.76,86,55,5.14,MG,1680279847
63,jalu,29.0331,21.5482,22.22,18,0,2.01,LY,1680279847
64,naze,28.3667,129.4833,18.51,88,79,3.43,JP,1680279847
65,high level,58.5169,-117.136,-5.94,63,100,4.63,CA,1680279847
66,east london,-33.0153,27.9116,18.52,82,0,0.51,ZA,1680279742
67,mar del plata,-38.0023,-57.5575,17.01,58,40,11.83,AR,1680279683
68,saint george,37.1041,-113.5841,8.57,63,0,1.54,US,1680279848
69,kulhudhuffushi,6.6221,73.07,28.3,70,61,3.57,MV,1680279848
70,castro,-24.7911,-50.0119,24.8,62,4,3.68,BR,1680279848
71,college,64.8569,-147.8028,-10.01,76,75,0.0,US,1680279848
72,uglekamensk,43.2172,133.2303,5.41,49,0,0.92,RU,1680279848
73,saint-georges,12.0564,-61.7485,27.35,68,17,7.73,GD,1680279848
74,semey,50.4111,80.2275,-3.75,55,5,5.97,KZ,1680279848
75,heilbron,-27.2812,27.9709,14.44,75,100,4.78,ZA,1680279848
76,waddan,29.1614,16.139,24.79,11,0,1.33,LY,1680279848
77,kodiak,57.79,-152.4072,-1.27,59,0,2.06,US,1680279849
78,nioki,-2.7167,17.6833,27.69,64,99,0.7,CD,1680279849
